x1,y1
13.312,1
13,1.0408
12,1.2455
11,1.4969
10,1.7808
9.3601,2
9,2.2797
8.0005,3
8,3.0005
7.2092,4
7,4.3054
6.6591,5
6.2237,6
6,6.8105
5.9707,7
5.959,8
6,8.2831
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
16,9
16.522,10
16.533,11
16.551,12
16,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7.6427,14
7.7169,15
7.9699,16
8,16.069
8.5295,17
9,17.616
9.3428,18
10,18.525
10.668,19
11,19.146
12,19.522
13,19.809
14,19.956
15,19.938
16,19.767
17,19.495
18,19.177
18.512,19
19,18.747
20,18.18
20.213,18
21,17.329
