x1,y1
21,2.7518
20,2.2736
19.475,2
19,1.8806
18,1.7182
17,1.6024
16,1.5371
15,1.5295
14,1.5816
13,1.6876
12,1.8408
11.246,2
11,2.1284
10,2.6962
9.3906,3
9,3.3465
8.3309,4
8,4.4092
7.6391,5
7.1103,6
7,6.3454
6.8777,7
6.8553,8
7,8.7834
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.764,10
15.773,11
15.784,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8.092,14
8.1972,15
8.5605,16
9,16.83
9.1119,17
10,17.922
10.086,18
11,18.534
11.883,19
12,19.03
13,19.209
14,19.309
15,19.302
16,19.199
17,19.034
17.145,19
18,18.633
19,18.189
19.382,18
20,17.603
20.676,17
21,16.701
