x1,y1
0,0.38268
0.01,0.3919
0.02,0.40108
0.03,0.41022
0.04,0.41932
0.05,0.42838
0.06,0.43739
0.07,0.44637
0.08,0.45529
0.09,0.46417
0.1,0.47301
0.11,0.48179
0.12,0.49053
0.13,0.49922
0.14,0.50786
0.15,0.51645
0.16,0.52499
0.17,0.53347
0.18,0.5419
0.19,0.55028
0.2,0.5586
0.21,0.56687
0.22,0.57508
0.23,0.58323
0.24,0.59132
0.25,0.59936
0.26,0.60733
0.27,0.61525
0.28,0.6231
0.29,0.63089
0.3,0.63862
0.31,0.64628
0.32,0.65388
0.33,0.66141
0.34,0.66888
0.35,0.67628
0.36,0.68361
0.37,0.69088
0.38,0.69807
0.39,0.7052
0.4,0.71225
0.41,0.71923
0.42,0.72615
0.43,0.73298
0.44,0.73975
0.45,0.74644
0.46,0.75306
0.47,0.7596
0.48,0.76607
0.49,0.77246
0.5,0.77877
0.51,0.785
0.52,0.79116
0.53,0.79723
0.54,0.80323
0.55,0.80915
0.56,0.81498
0.57,0.82074
0.58,0.82641
0.59,0.832
0.6,0.8375
0.61,0.84293
0.62,0.84826
0.63,0.85352
0.64,0.85869
0.65,0.86377
0.66,0.86876
0.67,0.87367
0.68,0.87849
0.69,0.88323
0.7,0.88787
0.71,0.89243
0.72,0.8969
0.73,0.90127
0.74,0.90556
0.75,0.90976
0.76,0.91386
0.77,0.91788
0.78,0.9218
0.79,0.92563
0.8,0.92937
0.81,0.93301
0.82,0.93657
0.83,0.94002
0.84,0.94339
0.85,0.94666
0.86,0.94983
0.87,0.95291
0.88,0.9559
0.89,0.95879
0.9,0.96158
0.91,0.96428
0.92,0.96688
0.93,0.96938
0.94,0.97179
0.95,0.9741
0.96,0.97631
0.97,0.97843
0.98,0.98044
0.99,0.98236
1,0.98418
1.01,0.9859
1.02,0.98753
1.03,0.98905
1.04,0.99048
1.05,0.99181
1.06,0.99303
1.07,0.99416
1.08,0.99519
1.09,0.99612
1.1,0.99695
1.11,0.99768
1.12,0.99831
1.13,0.99884
1.14,0.99927
1.15,0.99961
1.16,0.99984
1.17,0.99997
1.18,1
1.19,0.99993
1.2,0.99976
1.21,0.99949
1.22,0.99912
1.23,0.99865
1.24,0.99808
1.25,0.99742
1.26,0.99665
1.27,0.99578
1.28,0.99481
1.29,0.99375
1.3,0.99258
1.31,0.99131
1.32,0.98995
1.33,0.98848
1.34,0.98692
1.35,0.98526
1.36,0.9835
1.37,0.98164
1.38,0.97969
1.39,0.97763
1.4,0.97548
1.41,0.97323
1.42,0.97088
1.43,0.96844
1.44,0.9659
1.45,0.96326
1.46,0.96053
1.47,0.9577
1.48,0.95477
1.49,0.95175
1.5,0.94864
