x1,y1
21.185,31
21.891,30
22,29.838
22.505,29
23,28.144
23.075,28
23.525,27
23.95,26
24,25.864
24.271,25
24.53,24
24.736,23
24.879,22
24.939,21
24.89,20
24.71,19
24.385,18
24,17.149
23.903,17
23.114,16
23,15.879
22,15.134
21.705,15
21,14.731
20,14.581
19,15
19,16
19,17
19,18
19,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19
6,19
5,19.313
4.7742,20
4.6828,21
4.6891,22
4.7529,23
4.8622,24
5,24.897
5.0189,25
5.2452,26
5.507,27
5.8101,28
6,28.547
6.173,29
6.5958,30
7,30.944
7.022,31
