x1,y1
31,7.1863
30.755,7
30,6.3246
29.553,6
29,5.6257
28.016,5
28,4.991
27,4.5079
26,4.0517
25.869,4
25,3.704
24,3.415
23,3.1817
22,3.015
21.823,3
21,2.9411
20,2.9449
19.334,3
19,3.0345
18,3.2344
17,3.5254
16,3.8906
15.751,4
15,4.4352
14.104,5
14,5.0848
13,5.9897
12.99,6
12.185,7
12,7.2808
11.59,8
11.113,9
11,9.3319
10.818,10
10.639,11
10.583,12
11,13
12,13
13,13
14,13
15,13
16,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
23,13
23.52,14
23.521,15
23.521,16
23.515,17
23.508,18
23,19
23,19
22,19
21,19
20,19
19,19
18,19
17,19
16,19
15,19
14,19
13,19
12,19
11,19
10,19
9,19
8,19
7,19.764
6.9591,20
6.9325,21
7,21.848
7.0183,22
7.2616,23
7.5735,24
7.9196,25
8,25.189
8.4479,26
8.988,27
9,27.018
9.7668,28
10,28.286
10.658,29
11,29.308
11.767,30
12,30.123
13,30.578
13.84,31
