x1,y1
21,4.0345
20.953,4
20,3.2242
19.632,3
19,2.6916
18,2.225
17.455,2
17,1.906
16,1.7612
15,1.6766
14,1.6626
13,1.7252
12,1.8598
11.275,2
11,2.1313
10,2.7223
9.5671,3
9,3.5037
8.5059,4
8,4.6669
7.7893,5
7.3316,6
7.0377,7
7,7.373
6.9544,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
17,9
17,10
17,11
17,12
17,13
17,13
16,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8,13
7,13
6,13
5,13.609
4.9762,14
4.9889,15
5,15.086
5.2221,16
5.6025,17
5.9952,18
6,18.009
6.7598,19
7,19.267
7.7219,20
8,20.147
9,20.584
9.8903,21
