x1,y1
21,2.1238
20.773,2
20,1.7928
19,1.5843
18,1.4328
17,1.3312
16,1.29
15,1.314
14,1.4023
13,1.5421
12,1.7228
11,1.9458
10.833,2
10,2.5375
9.1347,3
9,3.123
8.1313,4
8,4.1677
7.4994,5
7,5.9302
6.9758,6
6.7874,7
6.7645,8
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
15,9
15.772,10
15.785,11
15.792,12
15,13
15,13
14,13
13,13
12,13
11,13
10,13
9,13
8.8204,14
8.9297,15
9,15.208
9.3498,16
10,16.944
10.046,17
11,17.729
11.427,18
12,18.227
13,18.51
14,18.648
15,18.629
16,18.468
17,18.21
17.63,18
18,17.832
19,17.308
19.553,17
20,16.682
20.618,16
21,15.613
