x1,y1
21,20.383
20,20.471
19,20.599
18,20.701
17,20.758
16,20.769
15,20.735
14,20.643
13,20.496
12,20.296
11,20.051
10.85,20
10,19.297
9.6982,19
9,18.194
8.8568,18
8.2763,17
8,16.424
7.8323,16
7.6016,15
7.5572,14
8,13
9,13
10,13
11,13
12,13
13,13
14,13
15,13
16,13
16,13
16.27,12
16.294,11
16.323,10
16,9
16,9
15,9
14,9
13,9
12,9
11,9
10.531,8
10.839,7
11,6.7995
11.936,6
12,5.9655
13,5.7163
14,5.599
15,5.6448
16,5.8113
16.609,6
17,6.1566
18,6.6389
18.594,7
19,7.3066
19.898,8
20,8.0912
20.677,9
21,9.4428
