x1,y1
17.396,1
17.517,2
17.875,3
18,3.1578
18.84,4
19,4.2173
19.529,5
19.976,6
20,6.0732
20.279,7
20.449,8
20.455,9
20.296,10
20,10.951
19.979,11
19.477,12
19,12.807
18.85,13
18.07,14
18,14.08
17,14.951
16.921,15
16,15.642
15.551,16
15,16.378
14,16.576
13,16.362
12.573,16
12.475,15
12,14.581
11.037,14
12,13.857
13,13.637
14,13
15,13.329
15.328,13
15.972,12
15.977,11
15.974,10
15.093,9
15,8.2967
14,9
13,9
12,9
11,9
10,9
9,9
8,9
7,9
6,9
5,9
4,9
4,9
3.6597,10
3.5735,11
3.3815,12
3.6003,13
3,13.889
2.8978,14
2,14.893
1.6926,15
1,15.245
